"Date of 
Encashment","Bond
Number",Name of the Political Party,Denominations,"Account no. of
Political Party","Pay Branch
Code",Pay Teller
12-04-2019,OC775,All India Anna Dravida Munnetra Kazhagam,10000000,*******5199,800,2770121
12-04-2019,OC3975,All India Anna Dravida Munnetra Kazhagam,10000000,*******5199,800,2770121
12-04-2019,OC3967,All India Anna Dravida Munnetra Kazhagam,10000000,*******5199,800,2770121
12-04-2019,TL10418,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL126,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL116,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL10466,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL122,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL158,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL108,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL10446,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL10434,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL162,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL128,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL113,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL10423,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL110,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL131,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL164,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL118,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL10449,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL10417,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL10426,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL10420,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL10443,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL10452,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL160,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL10408,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL120,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL10464,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL124,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL10440,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,TL10469,All India Anna Dravida Munnetra Kazhagam,1000000,*******5199,800,2770121
12-04-2019,OC6646,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC6644,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5470,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5455,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5467,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5460,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5463,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5451,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5458,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5454,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5474,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5459,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5475,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5464,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5453,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5472,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5471,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5468,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5450,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5462,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5457,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,OC5466,Bharat Rashtra Samithi,10000000,*******7477,847,3367975
12-04-2019,TL10876,Bharat Rashtra Samithi,1000000,*******7477,847,3367975
12-04-2019,TL10877,Bharat Rashtra Samithi,1000000,*******7477,847,3367975
12-04-2019,TL10885,Bharat Rashtra Samithi,1000000,*******7477,847,3367975
12-04-2019,TL10856,Bharat Rashtra Samithi,1000000,*******7477,847,3367975
12-04-2019,TL10870,Bharat Rashtra Samithi,1000000,*******7477,847,3367975
12-04-2019,OC4274,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4276,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5827,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5847,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4303,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4301,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5831,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4321,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5861,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4325,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5843,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5837,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5817,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4319,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4293,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4305,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5801,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5825,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4313,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5805,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5829,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5821,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5839,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5841,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5813,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5833,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4327,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4311,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4347,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4317,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5809,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5855,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4333,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4335,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4337,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4343,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4295,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4331,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5819,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5853,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5857,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4349,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5803,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5849,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4299,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4329,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4315,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4339,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5835,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5807,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5811,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4309,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4341,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5815,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4345,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5851,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4297,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5845,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4307,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC4323,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5859,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5823,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5856,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5868,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5870,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5846,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5866,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5848,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5852,Bharatiya Janata Party,10000000,*******8244,691,3627829
12-04-2019,OC5874,Bharatiya Janata Party,10000000,*******8244,691,3627829
